system:time_start,NDVI
"Apr 10, 2013",0.332
"Apr 24, 2013",0.154
"May 3, 2013",0.568
"May 19, 2013",0.073
"May 26, 2013",0.09
"Jun 11, 2013",0.079
"Jun 27, 2013",0.177
"Jul 6, 2013",0.036
"Jul 13, 2013",0.058
"Aug 7, 2013",0.186
"Aug 14, 2013",0.025
"Aug 23, 2013",0.683
"Aug 30, 2013",0.571
"Sep 8, 2013",0.445
"Sep 15, 2013",0.048
"Oct 1, 2013",0.034
"Nov 11, 2013",0.4
"Dec 20, 2013",0.177
"Jan 14, 2014",-0.015
"Jan 21, 2014",0.086
"Jan 30, 2014",0.291
"Feb 6, 2014",0.088
"Mar 10, 2014",0.028
"Mar 19, 2014",0.443
"Mar 26, 2014",0.532
"Apr 4, 2014",0.529
"Apr 20, 2014",0.561
"Apr 27, 2014",0.514
"May 6, 2014",0.515
"May 13, 2014",0.034
"May 22, 2014",0.605
"Jun 7, 2014",0.144
"Jun 14, 2014",0.058
"Jun 23, 2014",0.218
"Jul 9, 2014",0.068
"Jul 25, 2014",0.648
"Aug 1, 2014",0.252
"Aug 10, 2014",0.643
"Aug 17, 2014",0.651
"Aug 26, 2014",0.105
"Sep 2, 2014",0.159
"Sep 11, 2014",0.544
"Sep 18, 2014",0.147
"Sep 27, 2014",0.592
"Oct 4, 2014",0.043
"Oct 29, 2014",0.291
"Nov 5, 2014",0.121
"Dec 16, 2014",0.04
"Feb 18, 2015",0.201
"Feb 25, 2015",0.082
"Mar 6, 2015",0.049
"Mar 13, 2015",0.494
"Mar 22, 2015",0.04
"Apr 14, 2015",0.128
"Apr 23, 2015",0.581
"Apr 30, 2015",0.082
"May 9, 2015",0.043
"May 16, 2015",0.581
"May 25, 2015",0.596
"Jun 1, 2015",0.049
"Jun 10, 2015",0.115
"Jun 17, 2015",0.32
"Jul 3, 2015",0.661
"Jul 19, 2015",0.053
"Jul 28, 2015",0.161
"Aug 4, 2015",0.321
"Aug 13, 2015",0.686
"Aug 20, 2015",0.361
"Aug 29, 2015",0.156
"Sep 5, 2015",0.063
"Sep 14, 2015",0.319
"Sep 30, 2015",0.245
"Oct 7, 2015",0.351
"Oct 16, 2015",0.359
"Oct 23, 2015",0.09
"Dec 19, 2015",0.179
"Jan 4, 2016",0.009
"Jan 20, 2016",0.097
"Mar 15, 2016",0.244
"Mar 24, 2016",0.048
"Mar 31, 2016",0.434
"Apr 9, 2016",0.048
"Apr 16, 2016",0.545
"Apr 25, 2016",0.339
"May 2, 2016",0.543
"May 11, 2016",0.277
"May 18, 2016",0.255
"May 27, 2016",0.245
"Jun 3, 2016",0.3
"Jun 12, 2016",0.17
"Jun 28, 2016",0.615
"Jul 5, 2016",0.053
"Jul 14, 2016",0.672
"Jul 30, 2016",0.054
"Aug 6, 2016",0.078
"Aug 15, 2016",0.658
"Aug 31, 2016",0.651
"Sep 7, 2016",0.16
"Sep 16, 2016",0.597
"Oct 2, 2016",0.588
"Oct 18, 2016",0.263
"Nov 3, 2016",0.341
"Nov 26, 2016",0.127
"Dec 12, 2016",0.107
"Jan 6, 2017",0.025
"Feb 7, 2017",0.199
"Mar 11, 2017",0.506
"Mar 18, 2017",0.048
"Mar 27, 2017",0.364
"Apr 12, 2017",0.552
"Apr 19, 2017",0.148
"Apr 28, 2017",0.173
"May 5, 2017",0.585
"May 14, 2017",0.271
"May 21, 2017",0.613
"May 30, 2017",0.621
"Jun 6, 2017",0.044
"Jun 15, 2017",0.689
"Jun 22, 2017",0.678
"Jul 1, 2017",0.048
"Jul 8, 2017",0.688
"Jul 24, 2017",0.084
"Aug 9, 2017",0.328
"Aug 18, 2017",0.134
"Sep 3, 2017",0.434
"Sep 26, 2017",0.068
"Oct 21, 2017",0.47
"Dec 24, 2017",0.193
"Feb 26, 2018",0.096
"Mar 5, 2018",0.293
"Mar 21, 2018",0.205
"Mar 30, 2018",0.438
"Apr 15, 2018",0.059
"Apr 22, 2018",0.035
"May 8, 2018",0.54
"May 17, 2018",0.607
"May 24, 2018",0.616
"Jun 2, 2018",0.139
"Jun 5, 2018",0
"Jun 9, 2018",0.674
"Jun 18, 2018",0.67
"Jul 4, 2018",0.071
"Jul 7, 2018",0
"Jul 11, 2018",0.068
"Jul 27, 2018",0.641
"Aug 5, 2018",0.673
"Aug 12, 2018",0.101
"Aug 21, 2018",0.218
"Aug 28, 2018",0.096
"Sep 6, 2018",0.376
