Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
2014,6,14,00:00,UTC,-1,-1,11.3,13.7,10.6
2014,6,15,00:00,UTC,-1,-1,13,19.6,4.8
2014,6,16,00:00,UTC,4.4,-1,10.5,17.3,6.2
2014,6,17,00:00,UTC,0.1,-1,7.2,11.3,2.3
2014,6,18,00:00,UTC,1.7,-1,10.2,15.4,2.9
2014,6,19,00:00,UTC,1.1,-1,11.2,17.5,6.2
2014,6,20,00:00,UTC,0.6,-1,10.6,16.1,6.8
2014,6,21,00:00,UTC,1.3,-1,7.6,14,3.4
2014,6,22,00:00,UTC,3.6,-1,7.9,12,2.7
2014,6,23,00:00,UTC,0.3,-1,9.6,14.9,5.4
2014,6,24,00:00,UTC,1.8,-1,11.1,15.6,7.4
2014,6,25,00:00,UTC,-1,-1,11.7,15,8.3
2014,6,26,00:00,UTC,3.3,-1,10.7,16.6,7.9
2014,6,27,00:00,UTC,0.1,-1,12,17.8,7.2
2014,6,28,00:00,UTC,0.7,-1,14,19.7,7.4
2014,6,29,00:00,UTC,9.5,-1,12.1,15,10.1
2014,6,30,00:00,UTC,0.1,-1,12.4,14.7,11.2
2014,7,1,00:00,UTC,2.3,-1,12.1,14,10.9
2014,7,2,00:00,UTC,0.1,-1,,19.2,10
2014,7,3,00:00,UTC,0.6,-1,,21.4,8.4
2014,7,4,00:00,UTC,-1,-1,,23.2,12.8
2014,7,5,00:00,UTC,-1,-1,,23.3,8.7
2014,7,6,00:00,UTC,-1,-1,,24.4,10.5
2014,7,7,00:00,UTC,-1,-1,,26.6,14.3
2014,7,8,00:00,UTC,-1,-1,,27.5,16.2
2014,7,9,00:00,UTC,0.4,-1,,28.1,15.6
2014,7,10,00:00,UTC,-1,-1,,23.9,15
2014,7,11,00:00,UTC,-1,-1,,21.3,8.7
2014,7,12,00:00,UTC,-1,-1,,22.2,11.3
2014,7,13,00:00,UTC,-1,-1,,26,16.4
2014,7,14,00:00,UTC,-1,-1,,23.6,16.1
2014,7,15,00:00,UTC,0.4,-1,,22.1,13.3
2014,7,16,00:00,UTC,6.8,-1,,19.2,12.8
2014,7,17,00:00,UTC,-1,-1,,24.7,12.1
2014,7,18,00:00,UTC,-1,-1,,26.6,15.2
2014,7,19,00:00,UTC,0.3,-1,,26.6,14.2
2014,7,20,00:00,UTC,7.2,-1,,25,14
2014,7,21,00:00,UTC,-1,-1,,26.5,15.2
2014,7,22,00:00,UTC,-1,-1,,27.3,15.1
2014,7,23,00:00,UTC,-1,-1,,30.2,16.7
2014,7,24,00:00,UTC,0.6,-1,,30.5,17.2
2014,7,25,00:00,UTC,-1,-1,,30.6,16.5
2014,7,26,00:00,UTC,-1,-1,,31.7,16.9
2014,7,27,00:00,UTC,-1,-1,,30.6,15.6
2014,7,28,00:00,UTC,-1,-1,,30.9,17.9
2014,7,29,00:00,UTC,0.1,-1,,29.5,17.6
2014,7,30,00:00,UTC,0.2,-1,,28.6,16.9
2014,7,31,00:00,UTC,1.8,-1,,28.5,18.9
2014,8,1,00:00,UTC,-1,-1,,25.7,14.8
2014,8,2,00:00,UTC,-1,-1,,27.2,14.3
2014,8,3,00:00,UTC,-1,-1,,28.1,16.1
2014,8,4,00:00,UTC,-1,-1,,29,17.9
2014,8,5,00:00,UTC,0.4,-1,,29.6,17
2014,8,6,00:00,UTC,-1,-1,,30.1,17.5
2014,8,7,00:00,UTC,3.1,-1,,29.7,17.1
2014,8,8,00:00,UTC,-1,-1,,25.9,14.4
2014,8,9,00:00,UTC,0.1,-1,,25.5,13.5
2014,8,10,00:00,UTC,-1,-1,,26.8,14.2
2014,8,11,00:00,UTC,17.6,-1,,25.7,16.9
2014,8,12,00:00,UTC,7.8,-1,,23.5,16.6
2014,8,13,00:00,UTC,10,-1,,20.5,11.7
2014,8,14,00:00,UTC,3.1,-1,,20.1,11.5
2014,8,15,00:00,UTC,0.7,-1,,22.7,12.5
2014,8,16,00:00,UTC,6.1,-1,,20.2,11.7
2014,8,17,00:00,UTC,6.6,-1,,20.7,10.4
2014,8,18,00:00,UTC,15.8,-1,,18.3,11.5
2014,8,19,00:00,UTC,33.1,,,15,11.9
2014,8,20,00:00,UTC,18.8,,,15.7,8.6
2014,8,21,00:00,UTC,0.4,,13.9,18.2,10.9
2014,8,22,00:00,UTC,9,,12,,
2014,8,23,00:00,UTC,3.7,,11.6,16.6,8.7
2014,8,24,00:00,UTC,0.3,,13.8,18,10
2014,8,25,00:00,UTC,9.5,,12.4,14.8,10.2
2014,8,26,00:00,UTC,2.6,,13.8,18.6,12.1
2014,8,27,00:00,UTC,5.9,,13.4,17.6,10.6
2014,8,28,00:00,UTC,2.9,,13.3,18,11.9
2014,8,29,00:00,UTC,0.7,,11.9,16.3,8.9
2014,8,30,00:00,UTC,-1,,11.6,15.1,8.4
2014,8,31,00:00,UTC,-1,,11.8,15.6,7.9
2014,9,1,00:00,UTC,-1,,11,14.7,7.2
2014,9,2,00:00,UTC,-1,,11.7,17.2,6.3
2014,9,3,00:00,UTC,-1,,14.5,21,9.6
2014,9,4,00:00,UTC,-1,,15.3,21.1,11.6
2014,9,5,00:00,UTC,-1,,14.9,22.2,11.2
2014,9,6,00:00,UTC,-1,,13,18.7,8.2
2014,9,7,00:00,UTC,-1,,13,20.3,6.8
2014,9,8,00:00,UTC,-1,,15.8,21.1,9.5
2014,9,9,00:00,UTC,7.3,,14.7,17.7,13.2
2014,9,10,00:00,UTC,-1,,13.2,18.6,8.8
2014,9,11,00:00,UTC,-1,,14.1,19.7,9.9
2014,9,12,00:00,UTC,-1,,14.6,19.2,12.2
2014,9,13,00:00,UTC,-1,,12.6,18,10.4
2014,9,14,00:00,UTC,-1,,12,18,7
2014,9,15,00:00,UTC,-1,,12.3,18.4,8
2014,9,16,00:00,UTC,-1,,11.6,17.8,7
2014,9,17,00:00,UTC,-1,,11.7,17.6,7.5
2014,9,18,00:00,UTC,-1,,11.3,17.4,5.8
2014,9,19,00:00,UTC,-1,,13.5,19.1,9.2
2014,9,20,00:00,UTC,-1,,13,18.5,9.1
2014,9,21,00:00,UTC,-1,,12.7,16.1,9.1
2014,9,22,00:00,UTC,12.2,,8.5,12.5,5.1
2014,9,23,00:00,UTC,-1,,2.7,5.1,1.6
2014,9,24,00:00,UTC,8.1,,4.5,9.4,-1.4
2014,9,25,00:00,UTC,12.1,,9.6,11.5,6.1
2014,9,26,00:00,UTC,13.8,,11,13.3,8
2014,9,27,00:00,UTC,-1,,9.1,12.6,6.4
2014,9,28,00:00,UTC,-1,,10,16.5,5.3
2014,9,29,00:00,UTC,-1,,9.7,15.1,6.6
2014,9,30,00:00,UTC,-1,,7,11.5,4.8
2014,10,1,00:00,UTC,-1,,5,10.4,0.9
2014,10,2,00:00,UTC,-1,,7.1,11.7,2
2014,10,3,00:00,UTC,1.3,,10.6,13.5,8.2
2014,10,4,00:00,UTC,0.9,,10.7,12.6,9
2014,10,5,00:00,UTC,-1,,6.1,9,4.1
2014,10,6,00:00,UTC,-1,,6.6,7.4,4.9
2014,10,7,00:00,UTC,-1,,7.9,9.6,5.8
2014,10,8,00:00,UTC,6,,7.5,9,5.7
2014,10,9,00:00,UTC,4.6,,10.1,11.1,8.2
